CorpName,StockCode,DartCode,CurrnetAsset,TotalLiab,MarketValue,NetAsset,NetAsset/MarketValue
바이넥스,053030,00216027,108145572548.0,89357777424.0,492296244000,18787795124.0,0.038163596316205084
동방,004140,00115287,146816955498.0,421813057195.0,179872947000,-274996101697.0,-1.5288352488993244
위지윅스튜디오,299900,01276327,78617558284.0,78137416238.0,1589638621200,480142046.0,0.0003020447789809902
나스미디어,089600,00486097,360479019200.0,221339471425.0,344336023500,139139547775.0,0.4040807184816665
서희건설,035890,00219848,851186793647.0,717846420329.0,384929165475,133340373318.0,0.34640236510387273
엘앤씨바이오,290650,01181515,43760045953.0,21403249392.0,859757368900,22356796561.0,0.026003611448662513
원림,005820,00143794,100204387318.0,44161515448.0,43201836000,56042871870.0,1.2972335682677931
모나미,005360,00121288,87327906769.0,118462131442.0,84187502685,-31134224673.0,-0.3698200288645372
세경하이테크,148150,00913689,74851974698.0,76702348723.0,315229516750,-1850374025.0,-0.005869926281260906
일성건설,013360,00146232,177064969025.0,262493262885.0,315505299200,-85428293860.0,-0.2707665895837987
팜스코,036580,00260408,513123152304.0,713074852326.0,218531260850,-199951700022.0,-0.9149798488521373
에코마케팅,230360,01029394,175677254486.0,47357790766.0,558098144450,128319463720.0,0.22992275641134324
디지틀조선,033130,00231442,53116559999.0,7032486024.0,111716953670,46084073975.0,0.41250743473660634
유니테크노,241690,00531865,60209417853.0,54387527673.0,220602003300,5821890180.0,0.026390921627682244
포스코강판,058430,00155258,316304619747.0,256076619065.0,337800000000,60228000682.0,0.1782948510420367
미창석유공업,003650,00122056,239239029597.0,51998266016.0,138651858400,187240763581.0,1.3504381819450608
범양건영,002410,00122694,,94468831336.0,149240211820,,
덱스터,206560,01021949,43193765287.0,13425107843.0,755207796000,29768657444.0,0.03941783652349903
JW생명과학,234080,00225706,56577123974.0,89153348228.0,237518310000,-32576224254.0,-0.13715247575650064
보광산업,225530,00568461,60691066960.0,62183240852.0,234384789150,-1492173892.0,-0.006366342702576354
이엔에프테크놀로지,102710,00530185,168490263218.0,154175075635.0,427206296400,14315187583.0,0.033508840350977565
인텔리안테크,189300,00664181,87603718179.0,93787567491.0,777856764300,-6183849312.0,-0.007949856060665486
원익IPS,240810,01135941,786694245595.0,568509653706.0,1992806380600,218184591889.0,0.10948609659876156
대림비앤코,005750,00109754,127370888781.0,173726510930.0,126542301600,-46355622149.0,-0.36632510680523295
서원,021050,00131197,106830729596.0,136370996131.0,91625958700,-29540266535.0,-0.32240062700702743
미래컴퍼니,049950,00447760,80985022996.0,40862448915.0,261740177800,40122574081.0,0.153291613149504
랩지노믹스,084650,00545114,98063415119.0,34707310396.0,331480308150,63356104723.0,0.19113082486435476
티웨이항공,091810,00671376,94266358617.0,612867842260.0,330990837000,-518601483643.0,-1.5668152277067415
쎌바이오텍,049960,00357430,64976786832.0,5082995603.0,178130000000,59893791229.0,0.33623640728119913
호전실업,111110,00226316,191029428846.0,190949970774.0,99009487500,79458072.0,0.0008025298787654062
옵트론텍,082210,00327396,87198964710.0,187948203978.0,213359973750,-100749239268.0,-0.47220309178539166
한신기계공업,011700,00162072,62923681437.0,11559971762.0,120537450965,51363709675.0,0.4261224147664636
진로발효,018120,00170877,60393531211.0,20695841178.0,210551616000,39697690033.0,0.18854136950912787
한신공영,004960,00162063,1163112527595.0,1241107284233.0,182238556500,-77994756638.0,-0.4279816419529201
석경에이티,357550,00921916,15842963766.0,5847717489.0,102826750000,9995246277.0,0.0972047281179265
현우산업,092300,00367455,83486031507.0,108378771529.0,82961784600,-24892740022.0,-0.3000506816725348
이노메트리,302430,01258710,42446273512.0,10568116715.0,151923063600,31878156797.0,0.2098309239006157
제이티,089790,00365457,42488831164.0,27609109456.0,102226733830,14879721708.0,0.14555607080966249
미투온,201490,00965813,125983574096.0,48635599797.0,221305011600,77347974299.0,0.3495084622792157
스튜디오드래곤,253450,01168684,248300839541.0,147299235741.0,2668261046500,101001603800.0,0.03785296942084636
슈프리마,236200,01124653,79463344435.0,8007316357.0,175515861200,71456028078.0,0.4071200607708952
